"region";"utbildningsnivå";"ålder";"kön";"2018"
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"16-24 år";"män";23
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"16-24 år";"kvinnor";16
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"25-34 år";"män";78
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"25-34 år";"kvinnor";63
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"35-44 år";"män";109
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"35-44 år";"kvinnor";102
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"45-54 år";"män";100
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"45-54 år";"kvinnor";101
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"55-64 år";"män";73
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"55-64 år";"kvinnor";111
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"65-74 år";"män";234
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"65-74 år";"kvinnor";200
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"75-84 år";"män";271
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"75-84 år";"kvinnor";334
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"85-94 år";"män";91
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"85-94 år";"kvinnor";158
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"95+ år";"män";5
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"95+ år";"kvinnor";23
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"16-24 år";"män";1025
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"16-24 år";"kvinnor";882
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"25-34 år";"män";373
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"25-34 år";"kvinnor";198
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"35-44 år";"män";347
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"35-44 år";"kvinnor";198
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"45-54 år";"män";372
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"45-54 år";"kvinnor";201
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"55-64 år";"män";355
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"55-64 år";"kvinnor";203
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"65-74 år";"män";267
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"65-74 år";"kvinnor";254
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"75-84 år";"män";75
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"75-84 år";"kvinnor";146
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"85-94 år";"män";12
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"85-94 år";"kvinnor";28
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"95+ år";"män";0
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"95+ år";"kvinnor";3
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"16-24 år";"män";98
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"16-24 år";"kvinnor";84
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"25-34 år";"män";318
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"25-34 år";"kvinnor";279
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"35-44 år";"män";488
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"35-44 år";"kvinnor";395
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"45-54 år";"män";1134
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"45-54 år";"kvinnor";861
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"55-64 år";"män";782
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"55-64 år";"kvinnor";806
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"65-74 år";"män";479
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"65-74 år";"kvinnor";817
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"75-84 år";"män";236
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"75-84 år";"kvinnor";477
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"85-94 år";"män";45
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"85-94 år";"kvinnor";129
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"95+ år";"män";5
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"95+ år";"kvinnor";9
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"16-24 år";"män";856
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"16-24 år";"kvinnor";772
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"25-34 år";"män";1165
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"25-34 år";"kvinnor";962
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"35-44 år";"män";947
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"35-44 år";"kvinnor";814
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"45-54 år";"män";539
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"45-54 år";"kvinnor";684
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"55-64 år";"män";350
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"55-64 år";"kvinnor";365
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"65-74 år";"män";386
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"65-74 år";"kvinnor";258
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"75-84 år";"män";248
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"75-84 år";"kvinnor";104
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"85-94 år";"män";53
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"85-94 år";"kvinnor";18
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"95+ år";"män";2
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"95+ år";"kvinnor";1
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"16-24 år";"män";167
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"16-24 år";"kvinnor";226
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"25-34 år";"män";557
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"25-34 år";"kvinnor";583
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"35-44 år";"män";450
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"35-44 år";"kvinnor";452
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"45-54 år";"män";555
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"45-54 år";"kvinnor";469
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"55-64 år";"män";367
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"55-64 år";"kvinnor";352
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"65-74 år";"män";267
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"65-74 år";"kvinnor";373
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"75-84 år";"män";127
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"75-84 år";"kvinnor";152
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"85-94 år";"män";18
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"85-94 år";"kvinnor";29
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"95+ år";"män";2
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"95+ år";"kvinnor";3
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"16-24 år";"män";42
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"16-24 år";"kvinnor";81
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"25-34 år";"män";560
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"25-34 år";"kvinnor";913
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"35-44 år";"män";768
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"35-44 år";"kvinnor";1082
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"45-54 år";"män";511
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"45-54 år";"kvinnor";806
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"55-64 år";"män";346
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"55-64 år";"kvinnor";405
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"65-74 år";"män";291
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"65-74 år";"kvinnor";391
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"75-84 år";"män";164
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"75-84 år";"kvinnor";199
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"85-94 år";"män";30
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"85-94 år";"kvinnor";32
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"95+ år";"män";4
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"95+ år";"kvinnor";1
"0114 Upplands Väsby";"forskarutbildning";"16-24 år";"män";0
"0114 Upplands Väsby";"forskarutbildning";"16-24 år";"kvinnor";0
"0114 Upplands Väsby";"forskarutbildning";"25-34 år";"män";15
"0114 Upplands Väsby";"forskarutbildning";"25-34 år";"kvinnor";17
"0114 Upplands Väsby";"forskarutbildning";"35-44 år";"män";51
"0114 Upplands Väsby";"forskarutbildning";"35-44 år";"kvinnor";43
"0114 Upplands Väsby";"forskarutbildning";"45-54 år";"män";39
"0114 Upplands Väsby";"forskarutbildning";"45-54 år";"kvinnor";31
"0114 Upplands Väsby";"forskarutbildning";"55-64 år";"män";26
"0114 Upplands Väsby";"forskarutbildning";"55-64 år";"kvinnor";9
"0114 Upplands Väsby";"forskarutbildning";"65-74 år";"män";35
"0114 Upplands Väsby";"forskarutbildning";"65-74 år";"kvinnor";8
"0114 Upplands Väsby";"forskarutbildning";"75-84 år";"män";17
